0,0,0,0:00:15.508964
0,0,1,0:00:15.681281
1,0,2,0:00:15.669155
1,0,3,0:00:17.085638
0,0,4,0:00:16.446432
1,0,5,0:00:16.480866
1,1,0,0:00:16.688376
1,1,1,0:00:16.790915
0,1,2,0:00:17.214834
1,1,3,0:00:17.026053
1,1,4,0:00:17.125014
0,1,5,0:00:17.455668
0,2,0,0:00:44.230810
0,2,1,0:00:44.390635
0,2,2,0:00:43.539241
0,2,3,0:00:44.690907
0,2,4,0:00:44.887387
1,2,5,0:00:44.475427
1,3,0,0:00:43.489123
1,3,1,0:00:44.690274
1,3,2,0:00:46.934832
0,3,3,0:00:44.824418
1,3,4,0:00:44.249846
0,3,5,0:00:45.015935
0,4,0,0:00:44.001380
1,4,1,0:00:43.519847
0,4,2,0:00:45.264819
1,4,3,0:00:44.812018
0,4,4,0:00:44.629468
0,4,5,0:00:44.606729
1,5,0,0:00:45.399833
1,5,1,0:00:45.445972
1,5,2,0:00:44.670570
1,5,3,0:00:43.742231
1,5,4,0:00:44.097822
1,5,5,0:00:46.323789
1,6,0,0:00:43.096548
1,6,1,0:00:42.387913
1,6,2,0:00:42.424426
1,6,3,0:00:43.770235
0,6,4,0:00:44.368069
1,6,5,0:00:44.024452
0,7,0,0:00:44.720945
0,7,1,0:00:44.897933
0,7,2,0:00:45.166286
1,7,3,0:00:44.789061
1,7,4,0:00:45.007205
0,7,5,0:00:47.900132
0,8,0,0:00:43.605711
1,8,1,0:00:42.236175
1,8,2,0:00:46.344761
0,8,3,0:00:43.998511
1,8,4,0:00:42.630179
1,8,5,0:00:43.914730
1,9,0,0:00:45.060486
0,9,1,0:00:46.815266
1,9,2,0:00:43.421617
1,9,3,0:00:45.663983
0,9,4,0:00:44.400046
0,9,5,0:00:45.609480
0,10,0,0:00:43.559622
1,10,1,0:00:45.099947
0,10,2,0:00:45.873619
1,10,3,0:00:43.344022
1,10,4,0:00:44.451405
1,10,5,0:00:43.739923
1,11,0,0:00:44.880120
0,11,1,0:00:44.784803
0,11,2,0:00:45.934941
0,11,3,0:00:47.042475
1,11,4,0:00:48.819044
1,11,5,0:00:46.155372
0,12,0,0:00:43.325495
0,12,1,0:00:44.480474
1,12,2,0:00:43.966545
0,12,3,0:00:43.766971
1,12,4,0:00:44.312412
1,12,5,0:00:44.589952
1,13,0,0:00:42.770379
0,13,1,0:00:46.596196
0,13,2,0:00:44.768997
1,13,3,0:00:45.468041
0,13,4,0:00:44.290369
1,13,5,0:00:43.895586
1,14,0,0:00:45.792674
1,14,1,0:00:44.804632
0,14,2,0:00:42.538678
1,14,3,0:00:42.060793
0,14,4,0:00:43.825262
